epoch,optimisation_tile_loss,train_tile_loss,train_tile_accuracy,train_image_accuracy,valid_tile_loss,valid_tile_accuracy,valid_tile_balanced_accuracy,valid_tile_macro_f1,valid_image_accuracy,valid_image_balanced_accuracy,valid_image_macro_f1
1,1.3318940710138392,1.1868572941532842,0.3333333333333333,0.3333333333333333,1.183588186899821,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666
2,1.0413383179240756,0.7252119029009784,0.8055555555555556,0.7777777777777778,0.7199398875236511,0.8125,0.8125,0.8107353730542136,0.7777777777777778,0.7777777777777777,0.7746031746031746
3,0.7434447120737147,0.5741797398637842,0.6805555555555556,0.6666666666666666,0.562676512532764,0.6944444444444444,0.6944444444444443,0.6113947858366756,0.6666666666666666,0.6666666666666666,0.5555555555555555
4,0.5680050629156607,0.47513633911256437,0.9097222222222222,0.8888888888888888,0.4624243809117211,0.9097222222222222,0.9097222222222222,0.9084460838965126,0.8888888888888888,0.8888888888888888,0.8857142857142857
5,0.39755427175097996,0.2449733421758369,0.9953703703703703,1.0,0.2337115936809116,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
6,0.22962507053657813,0.19872552322016823,0.9953703703703703,1.0,0.19674630463123322,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
7,0.21535980977393962,0.19410532823315374,0.9953703703703703,1.0,0.19226573573218453,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
8,0.2000382172840613,0.191722869321152,0.9953703703703703,1.0,0.18849560452832115,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
9,0.20187568223034894,0.18878924129185853,0.9953703703703703,1.0,0.18945933878421783,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
10,0.2002931264815507,0.18640038757412522,0.9953703703703703,1.0,0.18602828350332049,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
11,0.19432748357454935,0.1842852450079388,0.9953703703703703,1.0,0.19110741549068028,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
12,0.19183122946156395,0.1792830482677177,1.0,1.0,0.1860566172334883,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
13,0.20683628927778314,0.18775714878682737,0.9953703703703703,1.0,0.19271478056907654,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
14,0.19461545624114848,0.17588929500844744,1.0,1.0,0.19120405283239153,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
15,0.18281024473684807,0.17239582924931138,1.0,1.0,0.18025567962063682,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
16,0.19374250372250876,0.18265452208342375,0.9953703703703703,1.0,0.17817339797814688,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
17,0.19334557983610365,0.1789006314895771,0.9976851851851852,1.0,0.17680951787365806,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
