external_variety,n_scenes,corn_recognition_rate,mean_corn_probability,median_corn_probability
Caitiannuo No.6,2,1.0,0.9525957703590393,0.9525957703590393
Jinxitian,2,1.0,0.950259804725647,0.950259804725647
Mihuatiannuo No.3,2,1.0,0.9355827569961548,0.9355827569961548
Mitiannuo No.1,2,1.0,0.9464387893676758,0.9464387893676758
Mitiannuo No.4,2,1.0,0.9501312971115112,0.9501312971115112
Sida No.204,2,1.0,0.948173463344574,0.948173463344574
Sidanuo No.38,2,1.0,0.950526237487793,0.950526237487793
Sidanuo No.44,2,1.0,0.9501103460788727,0.9501103460788727
Yuecainuo No.2,2,1.0,0.947931557893753,0.947931557893753
Zhenzhunuo No.8,2,1.0,0.9338575303554535,0.9338575303554535
Zhuyunuo No.1,2,1.0,0.9470843374729156,0.9470843374729156
Zhuyutian No.1,1,1.0,0.9570849537849426,0.9570849537849426
