experiment,sample_name,requested_wavelength_nm,external_band_index,actual_external_wavelength_nm,absolute_difference_nm
PCA 3-band CNN,Caitiannuo No.6__1,491.9,47,491.690002,0.20999799999998459
PCA 3-band CNN,Caitiannuo No.6__1,611.9,103,612.140015,0.24001499999997122
PCA 3-band CNN,Caitiannuo No.6__1,641.6,117,641.849976,0.2499759999999469
PCA 3-band CNN,Caitiannuo No.6__2,491.9,47,491.690002,0.20999799999998459
PCA 3-band CNN,Caitiannuo No.6__2,611.9,103,612.140015,0.24001499999997122
PCA 3-band CNN,Caitiannuo No.6__2,641.6,117,641.849976,0.2499759999999469
PCA 3-band CNN,Jinxitian__1,491.9,47,491.690002,0.20999799999998459
PCA 3-band CNN,Jinxitian__1,611.9,103,612.140015,0.24001499999997122
PCA 3-band CNN,Jinxitian__1,641.6,117,641.849976,0.2499759999999469
PCA 3-band CNN,Jinxitian__2,491.9,47,491.690002,0.20999799999998459
PCA 3-band CNN,Jinxitian__2,611.9,103,612.140015,0.24001499999997122
PCA 3-band CNN,Jinxitian__2,641.6,117,641.849976,0.2499759999999469
PCA 3-band CNN,Mihuatiannuo No.3__1,491.9,47,491.690002,0.20999799999998459
PCA 3-band CNN,Mihuatiannuo No.3__1,611.9,103,612.140015,0.24001499999997122
PCA 3-band CNN,Mihuatiannuo No.3__1,641.6,117,641.849976,0.2499759999999469
PCA 3-band CNN,Mihuatiannuo No.3__2,491.9,47,491.690002,0.20999799999998459
PCA 3-band CNN,Mihuatiannuo No.3__2,611.9,103,612.140015,0.24001499999997122
PCA 3-band CNN,Mihuatiannuo No.3__2,641.6,117,641.849976,0.2499759999999469
PCA 3-band CNN,Mitiannuo No.1__1,491.9,47,491.690002,0.20999799999998459
PCA 3-band CNN,Mitiannuo No.1__1,611.9,103,612.140015,0.24001499999997122
PCA 3-band CNN,Mitiannuo No.1__1,641.6,117,641.849976,0.2499759999999469
PCA 3-band CNN,Mitiannuo No.1__2,491.9,47,491.690002,0.20999799999998459
