external_variety,n_scenes,corn_recognition_rate,mean_corn_probability,median_corn_probability
Caitiannuo No.6,2,1.0,0.950080394744873,0.950080394744873
Jinxitian,2,1.0,0.9512007236480713,0.9512007236480713
Mihuatiannuo No.3,2,1.0,0.9535841345787048,0.9535841345787048
Mitiannuo No.1,2,1.0,0.9451824426651001,0.9451824426651001
Mitiannuo No.4,2,1.0,0.9490913152694702,0.9490913152694702
Sida No.204,2,1.0,0.9510363638401031,0.9510363638401031
Sidanuo No.38,2,1.0,0.950856477022171,0.950856477022171
Sidanuo No.44,2,1.0,0.9460931420326233,0.9460931420326233
Yuecainuo No.2,2,1.0,0.9498562812805176,0.9498562812805176
Zhenzhunuo No.8,2,1.0,0.958338737487793,0.958338737487793
Zhuyunuo No.1,2,1.0,0.9473676979541779,0.9473676979541779
Zhuyutian No.1,1,1.0,0.9554059505462646,0.9554059505462646
