external_variety,n_scenes,corn_recognition_rate,mean_corn_probability,median_corn_probability
Caitiannuo No.6,2,1.0,0.9547222852706909,0.9547222852706909
Jinxitian,2,1.0,0.7368707060813904,0.7368707060813904
Mihuatiannuo No.3,2,1.0,0.7002029418945312,0.7002029418945312
Mitiannuo No.1,2,1.0,0.9460939764976501,0.9460939764976501
Mitiannuo No.4,2,1.0,0.6188505291938782,0.6188505291938782
Sida No.204,2,1.0,0.9551699757575989,0.9551699757575989
Sidanuo No.38,2,1.0,0.9626307487487793,0.9626307487487793
Sidanuo No.44,2,1.0,0.9536885619163513,0.9536885619163513
Yuecainuo No.2,2,1.0,0.9333387315273285,0.9333387315273285
Zhenzhunuo No.8,2,1.0,0.9740962386131287,0.9740962386131287
Zhuyunuo No.1,2,1.0,0.9568418562412262,0.9568418562412262
Zhuyutian No.1,1,1.0,0.9445303678512573,0.9445303678512573
