experiment,sample_name,external_variety,height,width,bands,raw_selected_channel_means,raw_selected_channel_stds,tile_positions,tile_grid_rows,tile_grid_columns,tile_height,tile_width,centred_start_y,centred_start_x,unused_vertical_pixels,unused_horizontal_pixels
VIP 1-band CNN,Caitiannuo No.6__1,Caitiannuo No.6,529,480,300,[138.61111450195312],[268.38018798828125],"[{'row': 0, 'column': 0, 'y_start': 44, 'y_end': 264, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 44, 'y_end': 264, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 264, 'y_end': 484, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 264, 'y_end': 484, 'x_start': 240, 'x_end': 420}]",2,2,220,180,44,60,89,120
VIP 1-band CNN,Caitiannuo No.6__2,Caitiannuo No.6,539,480,300,[137.43148803710938],[263.92474365234375],"[{'row': 0, 'column': 0, 'y_start': 49, 'y_end': 269, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 49, 'y_end': 269, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 269, 'y_end': 489, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 269, 'y_end': 489, 'x_start': 240, 'x_end': 420}]",2,2,220,180,49,60,99,120
VIP 1-band CNN,Jinxitian__1,Jinxitian,526,480,300,[115.89195251464844],[231.75711059570312],"[{'row': 0, 'column': 0, 'y_start': 43, 'y_end': 263, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 43, 'y_end': 263, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 263, 'y_end': 483, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 263, 'y_end': 483, 'x_start': 240, 'x_end': 420}]",2,2,220,180,43,60,86,120
VIP 1-band CNN,Jinxitian__2,Jinxitian,514,480,300,[113.94039916992188],[227.3453369140625],"[{'row': 0, 'column': 0, 'y_start': 37, 'y_end': 257, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 37, 'y_end': 257, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 257, 'y_end': 477, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 257, 'y_end': 477, 'x_start': 240, 'x_end': 420}]",2,2,220,180,37,60,74,120
VIP 1-band CNN,Mihuatiannuo No.3__1,Mihuatiannuo No.3,522,480,300,[117.8523178100586],[235.7802276611328],"[{'row': 0, 'column': 0, 'y_start': 41, 'y_end': 261, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 41, 'y_end': 261, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 261, 'y_end': 481, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 261, 'y_end': 481, 'x_start': 240, 'x_end': 420}]",2,2,220,180,41,60,82,120
VIP 1-band CNN,Mihuatiannuo No.3__2,Mihuatiannuo No.3,516,480,300,[120.79098510742188],[247.42945861816406],"[{'row': 0, 'column': 0, 'y_start': 38, 'y_end': 258, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 38, 'y_end': 258, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 258, 'y_end': 478, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 258, 'y_end': 478, 'x_start': 240, 'x_end': 420}]",2,2,220,180,38,60,76,120
VIP 1-band CNN,Mitiannuo No.1__1,Mitiannuo No.1,539,480,300,[116.02727508544922],[210.79803466796875],"[{'row': 0, 'column': 0, 'y_start': 49, 'y_end': 269, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 49, 'y_end': 269, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 269, 'y_end': 489, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 269, 'y_end': 489, 'x_start': 240, 'x_end': 420}]",2,2,220,180,49,60,99,120
VIP 1-band CNN,Mitiannuo No.1__2,Mitiannuo No.1,542,480,300,[121.19222259521484],[228.189697265625],"[{'row': 0, 'column': 0, 'y_start': 51, 'y_end': 271, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 51, 'y_end': 271, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 271, 'y_end': 491, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 271, 'y_end': 491, 'x_start': 240, 'x_end': 420}]",2,2,220,180,51,60,102,120
VIP 1-band CNN,Mitiannuo No.4__1,Mitiannuo No.4,554,480,300,[114.48487091064453],[221.57081604003906],"[{'row': 0, 'column': 0, 'y_start': 57, 'y_end': 277, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 57, 'y_end': 277, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 277, 'y_end': 497, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 277, 'y_end': 497, 'x_start': 240, 'x_end': 420}]",2,2,220,180,57,60,114,120
VIP 1-band CNN,Mitiannuo No.4__2,Mitiannuo No.4,534,480,300,[114.73654174804688],[224.67491149902344],"[{'row': 0, 'column': 0, 'y_start': 47, 'y_end': 267, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 47, 'y_end': 267, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 267, 'y_end': 487, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 267, 'y_end': 487, 'x_start': 240, 'x_end': 420}]",2,2,220,180,47,60,94,120
VIP 1-band CNN,Sida No.204__1,Sida No.204,560,480,300,[124.95990753173828],[238.4357147216797],"[{'row': 0, 'column': 0, 'y_start': 60, 'y_end': 280, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 60, 'y_end': 280, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 280, 'y_end': 500, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 280, 'y_end': 500, 'x_start': 240, 'x_end': 420}]",2,2,220,180,60,60,120,120
VIP 1-band CNN,Sida No.204__2,Sida No.204,552,480,300,[123.31912994384766],[236.59815979003906],"[{'row': 0, 'column': 0, 'y_start': 56, 'y_end': 276, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 56, 'y_end': 276, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 276, 'y_end': 496, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 276, 'y_end': 496, 'x_start': 240, 'x_end': 420}]",2,2,220,180,56,60,112,120
VIP 1-band CNN,Sidanuo No.38__1,Sidanuo No.38,535,480,300,[140.35952758789062],[244.70533752441406],"[{'row': 0, 'column': 0, 'y_start': 47, 'y_end': 267, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 47, 'y_end': 267, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 267, 'y_end': 487, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 267, 'y_end': 487, 'x_start': 240, 'x_end': 420}]",2,2,220,180,47,60,95,120
VIP 1-band CNN,Sidanuo No.38__2,Sidanuo No.38,536,480,300,[139.7547607421875],[246.98214721679688],"[{'row': 0, 'column': 0, 'y_start': 48, 'y_end': 268, 'x_start': 60, 'x_end': 240}, {'row': 0, 'column': 1, 'y_start': 48, 'y_end': 268, 'x_start': 240, 'x_end': 420}, {'row': 1, 'column': 0, 'y_start': 268, 'y_end': 488, 'x_start': 60, 'x_end': 240}, {'row': 1, 'column': 1, 'y_start': 268, 'y_end': 488, 'x_start': 240, 'x_end': 420}]",2,2,220,180,48,60,96,120
