epoch,optimisation_tile_loss,train_tile_loss,train_tile_accuracy,train_image_accuracy,valid_tile_loss,valid_tile_accuracy,valid_tile_balanced_accuracy,valid_tile_macro_f1,valid_image_accuracy,valid_image_balanced_accuracy,valid_image_macro_f1
1,1.4942797510712236,1.3074045843548245,0.3333333333333333,0.3333333333333333,1.3067252371046278,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666
2,1.242172689349563,0.9657387159488819,0.5787037037037037,0.5925925925925926,0.9644037153985765,0.5763888888888888,0.576388888888889,0.5199265325398553,0.5555555555555556,0.5555555555555555,0.4444444444444444
3,0.9857351669558773,0.7205217701417429,0.6527777777777778,0.6666666666666666,0.7123174005084567,0.6527777777777778,0.6527777777777778,0.5454192169435538,0.6666666666666666,0.6666666666666666,0.5555555555555555
4,0.6527085315298151,0.6058629629788576,0.6504629629629629,0.6666666666666666,0.5921935687462488,0.6527777777777778,0.6527777777777778,0.542493053559452,0.6666666666666666,0.6666666666666666,0.5555555555555555
5,0.6123967965443929,0.5596465805062542,0.8773148148148148,0.8888888888888888,0.5430195844835706,0.9027777777777778,0.9027777777777778,0.9006651884700666,0.8888888888888888,0.8888888888888888,0.8857142857142857
6,0.5738196659971166,0.510630793593548,0.9212962962962963,0.8888888888888888,0.5091227094332377,0.9166666666666666,0.9166666666666666,0.9163398692810457,0.8888888888888888,0.8888888888888888,0.8857142857142857
7,0.6270689191641631,0.44349439607726204,0.9652777777777778,1.0,0.4254966427882512,0.9513888888888888,0.9513888888888888,0.9512566641279513,1.0,1.0,1.0
8,0.5635696859271438,0.4682201356799514,0.8449074074074074,0.8888888888888888,0.4575483484400643,0.8611111111111112,0.8611111111111112,0.8548094373865699,0.8888888888888888,0.8888888888888888,0.8857142857142857
9,0.44958007777178727,0.3155894472643181,0.9907407407407407,1.0,0.311951403816541,0.9861111111111112,0.986111111111111,0.986111111111111,1.0,1.0,1.0
10,0.2915759263215242,0.3217958261569341,0.9143518518518519,0.8888888888888888,0.30380119217766655,0.9236111111111112,0.9236111111111112,0.9225948323254536,0.8888888888888888,0.8888888888888888,0.8857142857142857
11,0.2849803302023146,0.20689418580796984,0.9907407407407407,1.0,0.20937551061312357,0.9861111111111112,0.9861111111111112,0.9861050803300043,1.0,1.0,1.0
12,0.21262199348873562,0.19137974248992073,1.0,1.0,0.1966918408870697,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
13,0.2044835052004567,0.18528958603187842,0.9953703703703703,1.0,0.19615786770979562,0.9861111111111112,0.9861111111111112,0.9861050803300043,1.0,1.0,1.0
14,0.1939346315684142,0.1787130523610998,1.0,1.0,0.1871957712703281,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
15,0.19234264228079054,0.17779629870697303,1.0,1.0,0.18407689862781101,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
16,0.19142737101625512,0.17601342278498192,1.0,1.0,0.18029465774695078,1.0,1.0,1.0,1.0,1.0,1.0
17,0.1894333075594019,0.1754994911176187,1.0,1.0,0.17760424812634787,1.0,1.0,1.0,1.0,1.0,1.0
18,0.22088286059874077,0.20542558144640038,0.9861111111111112,1.0,0.22170729604032305,0.9861111111111112,0.9861111111111112,0.9861050803300043,1.0,1.0,1.0
19,0.327109518426436,0.3780603028006024,0.9212962962962963,1.0,0.3534322745270199,0.9305555555555556,0.9305555555555555,0.93006993006993,1.0,1.0,1.0
20,0.3973865299313157,0.24943065367363118,0.9745370370370371,1.0,0.24081671900219387,0.9861111111111112,0.9861111111111112,0.9861050803300043,1.0,1.0,1.0
21,0.2152571882362719,0.19885424221003498,0.9953703703703703,1.0,0.19801032708750832,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
22,0.19855430722236633,0.17943545679251352,1.0,1.0,0.1873243186208937,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
23,0.1849555406305525,0.17649315132035148,1.0,1.0,0.179231067498525,1.0,1.0,1.0,1.0,1.0,1.0
24,0.1858892407682207,0.17639713872362067,1.0,1.0,0.1789181050327089,1.0,1.0,1.0,1.0,1.0,1.0
25,0.1850684572149206,0.1753625919421514,1.0,1.0,0.17766587105062273,1.0,1.0,1.0,1.0,1.0,1.0
26,0.18339666503447075,0.1744136561950048,1.0,1.0,0.17610245280795628,1.0,1.0,1.0,1.0,1.0,1.0
27,0.18227866567947246,0.17431692282358804,1.0,1.0,0.1757199333773719,1.0,1.0,1.0,1.0,1.0,1.0
28,0.18312678182566608,0.17343498876801244,1.0,1.0,0.17509114576710594,1.0,1.0,1.0,1.0,1.0,1.0
29,0.18137570332597802,0.17318579775315743,1.0,1.0,0.17478281921810573,1.0,1.0,1.0,1.0,1.0,1.0
30,0.1800791792295597,0.17283910126597793,1.0,1.0,0.17360133594936794,1.0,1.0,1.0,1.0,1.0,1.0
31,0.18011663247037818,0.1726280958564193,1.0,1.0,0.17411230173375872,1.0,1.0,1.0,1.0,1.0,1.0
32,0.17963285578621757,0.1721875364029849,1.0,1.0,0.17292959656980303,1.0,1.0,1.0,1.0,1.0,1.0
33,0.17849428123897976,0.17135742913793633,1.0,1.0,0.17221750484572518,1.0,1.0,1.0,1.0,1.0,1.0
34,0.17843591394247832,0.17156109103450068,1.0,1.0,0.1726174751917521,1.0,1.0,1.0,1.0,1.0,1.0
35,0.1780949185291926,0.17110558957965286,1.0,1.0,0.17156721982691023,1.0,1.0,1.0,1.0,1.0,1.0
36,0.1774891245144385,0.17078376257861103,1.0,1.0,0.17137732770707872,1.0,1.0,1.0,1.0,1.0,1.0
37,0.17745520726398187,0.17081001069810656,1.0,1.0,0.17114349537425572,1.0,1.0,1.0,1.0,1.0,1.0
38,0.17680860890282524,0.17102003318292122,1.0,1.0,0.17740478449397618,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
39,0.1768939550276156,0.17054964822751503,1.0,1.0,0.1713358461856842,1.0,1.0,1.0,1.0,1.0,1.0
40,0.17600401132195084,0.17025995640843003,1.0,1.0,0.1709358725282881,1.0,1.0,1.0,1.0,1.0,1.0
41,0.17656780889740697,0.170469515853458,1.0,1.0,0.1707697014013926,1.0,1.0,1.0,1.0,1.0,1.0
42,0.17564391041243518,0.16994939965230446,1.0,1.0,0.17004043691688114,1.0,1.0,1.0,1.0,1.0,1.0
43,0.17625309140593917,0.1705904260829643,1.0,1.0,0.1707588185866674,1.0,1.0,1.0,1.0,1.0,1.0
44,0.17616719117871038,0.17026866696499013,1.0,1.0,0.17025493250952828,1.0,1.0,1.0,1.0,1.0,1.0
45,0.17611965978587116,0.1707902020878262,1.0,1.0,0.17111034525765312,1.0,1.0,1.0,1.0,1.0,1.0
46,0.17593935352784615,0.16985848380459678,1.0,1.0,0.17000732488102382,1.0,1.0,1.0,1.0,1.0,1.0
47,0.17513292917498835,0.16966235637664795,1.0,1.0,0.16970041890939078,1.0,1.0,1.0,1.0,1.0,1.0
48,0.17671225468317667,0.17022014326519436,1.0,1.0,0.1706414686308967,1.0,1.0,1.0,1.0,1.0,1.0
49,0.17640883834273727,0.16965238087707096,1.0,1.0,0.16968681580490536,1.0,1.0,1.0,1.0,1.0,1.0
50,0.17590219665456702,0.16993387981697364,1.0,1.0,0.16996395753489602,1.0,1.0,1.0,1.0,1.0,1.0
51,0.1757074506194503,0.16972131144117425,1.0,1.0,0.16976169413990444,1.0,1.0,1.0,1.0,1.0,1.0
52,0.17537606866271407,0.16949871016873252,1.0,1.0,0.16951911316977608,1.0,1.0,1.0,1.0,1.0,1.0
53,0.17543927166197035,0.1698076625665029,1.0,1.0,0.16982144117355347,1.0,1.0,1.0,1.0,1.0,1.0
54,0.17585154484819482,0.16954318792731674,1.0,1.0,0.16960164407889047,1.0,1.0,1.0,1.0,1.0,1.0
55,0.17596648854238015,0.16964494243816094,1.0,1.0,0.16970962948269314,1.0,1.0,1.0,1.0,1.0,1.0
56,0.17471589203234072,0.16963324613041347,1.0,1.0,0.16964782112174565,1.0,1.0,1.0,1.0,1.0,1.0
57,0.1749350776274999,0.1694551976742568,1.0,1.0,0.1694598827097151,1.0,1.0,1.0,1.0,1.0,1.0
58,0.1764572709798813,0.1697417387255916,1.0,1.0,0.16976923578315312,1.0,1.0,1.0,1.0,1.0,1.0
59,0.17615310682190788,0.17013590368959638,1.0,1.0,0.17015072206656137,1.0,1.0,1.0,1.0,1.0,1.0
60,0.17567199854939072,0.16957139527356183,1.0,1.0,0.16965357462565103,1.0,1.0,1.0,1.0,1.0,1.0
61,0.17631341682540047,0.1698373622364468,1.0,1.0,0.1698735687467787,1.0,1.0,1.0,1.0,1.0,1.0
62,0.17543936713978095,0.16945631305376688,1.0,1.0,0.1695307178629769,1.0,1.0,1.0,1.0,1.0,1.0
