experiment,candidate,learning_rate,weight_decay,dropout,label_smoothing,best_epoch,best_valid_tile_loss,valid_tile_accuracy,valid_tile_balanced_accuracy,valid_tile_macro_f1,valid_image_accuracy,valid_image_balanced_accuracy,valid_image_macro_f1
PCA 1-band CNN,1,3e-05,0.0001,0.2,0.05,95,0.17044314742088318,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,2,3e-05,0.0001,0.4,0.05,97,0.17034750348991817,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,3,3e-05,0.001,0.2,0.05,95,0.17044276495774588,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,4,3e-05,0.001,0.4,0.05,97,0.17034567726982963,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,5,3e-05,0.01,0.2,0.05,95,0.17044172353214687,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,6,3e-05,0.01,0.4,0.05,97,0.1703474372625351,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,7,0.0001,0.0001,0.2,0.05,51,0.1697558280494478,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,8,0.0001,0.0001,0.4,0.05,56,0.16980846391783821,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,9,0.0001,0.001,0.2,0.05,51,0.1697544058163961,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,10,0.0001,0.001,0.4,0.05,56,0.16980769402450985,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,11,0.0001,0.01,0.2,0.05,51,0.16975745724307167,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,12,0.0001,0.01,0.4,0.05,56,0.16980601516034868,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,13,0.0003,0.0001,0.2,0.05,54,0.16948558390140533,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,14,0.0003,0.0001,0.4,0.05,55,0.16962063643667433,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,15,0.0003,0.001,0.2,0.05,51,0.16952611837122175,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,16,0.0003,0.001,0.4,0.05,61,0.16951742437150744,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,17,0.0003,0.01,0.2,0.05,48,0.1695464187198215,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,18,0.0003,0.01,0.4,0.05,51,0.16964367694324917,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,19,0.001,0.0001,0.2,0.05,57,0.17146271136071947,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,20,0.001,0.0001,0.4,0.05,82,0.16963817344771492,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,21,0.001,0.001,0.2,0.05,51,0.17239168286323547,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,22,0.001,0.001,0.4,0.05,81,0.16968613035149044,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,23,0.001,0.01,0.2,0.05,60,0.17176109717951882,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,24,0.001,0.01,0.4,0.05,82,0.1696988476647271,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,1,3e-05,0.0001,0.2,0.05,91,0.17051199740833706,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,2,3e-05,0.0001,0.4,0.05,97,0.17033928798304665,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,3,3e-05,0.001,0.2,0.05,91,0.17051169938511318,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,4,3e-05,0.001,0.4,0.05,97,0.17033886578347948,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,5,3e-05,0.01,0.2,0.05,91,0.17051024734973907,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,6,3e-05,0.01,0.4,0.05,97,0.17033944527308145,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,7,0.0001,0.0001,0.2,0.05,51,0.16973872151639727,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,8,0.0001,0.0001,0.4,0.05,51,0.16987122429741752,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,9,0.0001,0.001,0.2,0.05,51,0.16973802116182116,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,10,0.0001,0.001,0.4,0.05,51,0.16986942953533596,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,11,0.0001,0.01,0.2,0.05,51,0.16973740193578932,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,12,0.0001,0.01,0.4,0.05,51,0.16986974411540562,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,13,0.0003,0.0001,0.2,0.05,42,0.1695287608438068,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,14,0.0003,0.0001,0.4,0.05,56,0.16956221726205614,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,15,0.0003,0.001,0.2,0.05,45,0.16952932046519387,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,16,0.0003,0.001,0.4,0.05,27,0.17088641060723198,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,17,0.0003,0.01,0.2,0.05,42,0.16954574320051405,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,18,0.0003,0.01,0.4,0.05,51,0.16958214508162606,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,19,0.001,0.0001,0.2,0.05,69,0.17032909558879006,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,20,0.001,0.0001,0.4,0.05,80,0.16981597244739532,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,21,0.001,0.001,0.2,0.05,72,0.170277069012324,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,22,0.001,0.001,0.4,0.05,80,0.16975524690416124,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,23,0.001,0.01,0.2,0.05,93,0.1698488046725591,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,24,0.001,0.01,0.4,0.05,82,0.16961180667082468,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,1,3e-05,0.0001,0.2,0.05,40,0.1702014704545339,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,2,3e-05,0.0001,0.4,0.05,63,0.16974099145995247,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,3,3e-05,0.001,0.2,0.05,40,0.17020132144292197,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,4,3e-05,0.001,0.4,0.05,63,0.16974101629522112,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,5,3e-05,0.01,0.2,0.05,40,0.17020146714316475,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,6,3e-05,0.01,0.4,0.05,63,0.1697411553727256,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,7,0.0001,0.0001,0.2,0.05,22,0.17006108661492667,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,8,0.0001,0.0001,0.4,0.05,25,0.17050923903783163,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,9,0.0001,0.001,0.2,0.05,22,0.17005974716610378,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,10,0.0001,0.001,0.4,0.05,40,0.16981321573257446,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,11,0.0001,0.01,0.2,0.05,22,0.17006181842750973,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,12,0.0001,0.01,0.4,0.05,25,0.17048702968491447,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,13,0.0003,0.0001,0.2,0.05,13,0.17169071237246195,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,14,0.0003,0.0001,0.4,0.05,28,0.17018116845024955,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,15,0.0003,0.001,0.2,0.05,13,0.171557969517178,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,16,0.0003,0.001,0.4,0.05,33,0.16955955492125618,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,17,0.0003,0.01,0.2,0.05,13,0.17177379959159428,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,18,0.0003,0.01,0.4,0.05,19,0.17132550809118482,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,19,0.001,0.0001,0.2,0.05,28,0.17016349567307365,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,20,0.001,0.0001,0.4,0.05,25,0.1702436539861891,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,21,0.001,0.001,0.2,0.05,22,0.1709880514277352,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,22,0.001,0.001,0.4,0.05,18,0.17245884405242073,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,23,0.001,0.01,0.2,0.05,28,0.17023985584576926,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,24,0.001,0.01,0.4,0.05,25,0.17019212908214992,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,1,3e-05,0.0001,0.2,0.05,40,0.17010019885169136,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,2,3e-05,0.0001,0.4,0.05,60,0.16974436243375143,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,3,3e-05,0.001,0.2,0.05,40,0.17009998195701176,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,4,3e-05,0.001,0.4,0.05,60,0.16974406275484297,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,5,3e-05,0.01,0.2,0.05,40,0.1701006061500973,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,6,3e-05,0.01,0.4,0.05,60,0.1697440246740977,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,7,0.0001,0.0001,0.2,0.05,22,0.1699599458111657,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,8,0.0001,0.0001,0.4,0.05,25,0.17042943172984654,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,9,0.0001,0.001,0.2,0.05,22,0.16996049880981445,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,10,0.0001,0.001,0.4,0.05,25,0.17042676938904655,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,11,0.0001,0.01,0.2,0.05,22,0.16996073060565525,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,12,0.0001,0.01,0.4,0.05,25,0.1704288770755132,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,13,0.0003,0.0001,0.2,0.05,19,0.16987569133440653,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,14,0.0003,0.0001,0.4,0.05,31,0.17034066054556105,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,15,0.0003,0.001,0.2,0.05,19,0.169935233063168,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,16,0.0003,0.001,0.4,0.05,40,0.16994420852926043,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,17,0.0003,0.01,0.2,0.05,19,0.16989859607484606,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,18,0.0003,0.01,0.4,0.05,26,0.17095698250664604,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,19,0.001,0.0001,0.2,0.05,28,0.1704609708653556,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,20,0.001,0.0001,0.4,0.05,40,0.1701136959923638,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,21,0.001,0.001,0.2,0.05,19,0.17198681169086033,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,22,0.001,0.001,0.4,0.05,57,0.16951608657836914,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,23,0.001,0.01,0.2,0.05,27,0.17020385132895577,1.0,1.0,1.0,1.0,1.0,1.0
VIP 3-band CNN,24,0.001,0.01,0.4,0.05,57,0.16948754588762918,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,1,3e-05,0.0001,0.2,0.05,51,0.1700805260075463,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,2,3e-05,0.0001,0.4,0.05,59,0.17000364926126268,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,3,3e-05,0.001,0.2,0.05,51,0.17008057733376822,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,4,3e-05,0.001,0.4,0.05,59,0.17000344064500597,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,5,3e-05,0.01,0.2,0.05,51,0.17008018328083885,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,6,3e-05,0.01,0.4,0.05,59,0.1700032717651791,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,7,0.0001,0.0001,0.2,0.05,33,0.16963338024086422,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,8,0.0001,0.0001,0.4,0.05,38,0.1695928755733702,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,9,0.0001,0.001,0.2,0.05,33,0.16963332063621944,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,10,0.0001,0.001,0.4,0.05,38,0.16959593031141493,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,11,0.0001,0.01,0.2,0.05,33,0.16963285207748413,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,12,0.0001,0.01,0.4,0.05,38,0.16959371666113535,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,13,0.0003,0.0001,0.2,0.05,36,0.16986323065227932,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,14,0.0003,0.0001,0.4,0.05,25,0.16968378093507555,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,15,0.0003,0.001,0.2,0.05,36,0.16985937621858385,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,16,0.0003,0.001,0.4,0.05,25,0.1697262790468004,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,17,0.0003,0.01,0.2,0.05,36,0.16985596385267046,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,18,0.0003,0.01,0.4,0.05,25,0.16972433858447605,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,19,0.001,0.0001,0.2,0.05,31,0.1703384667634964,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,20,0.001,0.0001,0.4,0.05,40,0.17008422480689156,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,21,0.001,0.001,0.2,0.05,24,0.17035709652635786,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,22,0.001,0.001,0.4,0.05,52,0.16951911316977608,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,23,0.001,0.01,0.2,0.05,36,0.16984854307439592,1.0,1.0,1.0,1.0,1.0,1.0
RGB 3-band CNN,24,0.001,0.01,0.4,0.05,36,0.17150017784701455,1.0,1.0,1.0,1.0,1.0,1.0
