epoch,optimisation_tile_loss,train_tile_loss,train_tile_accuracy,train_image_accuracy,valid_tile_loss,valid_tile_accuracy,valid_tile_balanced_accuracy,valid_tile_macro_f1,valid_image_accuracy,valid_image_balanced_accuracy,valid_image_macro_f1
1,1.1588931171982377,0.8251612826629922,0.48148148148148145,0.4444444444444444,0.8146963583098518,0.5555555555555556,0.5555555555555555,0.54,0.4444444444444444,0.4444444444444444,0.3703703703703704
2,0.7408044029165197,0.6511990218250839,0.7638888888888888,0.7037037037037037,0.6468545529577467,0.7916666666666666,0.7916666666666666,0.784586972660367,0.7777777777777778,0.7777777777777777,0.7746031746031746
3,0.655810691692211,0.515721606987494,0.7731481481481481,0.7777777777777778,0.49746065669589573,0.7916666666666666,0.7916666666666666,0.7714115949410068,0.7777777777777778,0.7777777777777777,0.75
4,0.5006452567047543,0.4761649888974649,0.8703703703703703,0.8888888888888888,0.4590435524781545,0.8819444444444444,0.8819444444444445,0.8800289192356665,0.8888888888888888,0.8888888888888888,0.8857142857142857
5,0.4649989494570979,0.39481724412352953,0.9097222222222222,0.8888888888888888,0.37116990817917717,0.9166666666666666,0.9166666666666666,0.9153439153439153,0.8888888888888888,0.8888888888888888,0.8857142857142857
6,0.38270282634982355,0.33203997987288014,0.9467592592592593,1.0,0.30645322302977246,0.9583333333333334,0.9583333333333334,0.9582342636644504,1.0,1.0,1.0
7,0.3672080470456017,0.262689749399821,0.9837962962962963,1.0,0.2424524360232883,1.0,1.0,1.0,1.0,1.0,1.0
8,0.38857185619848744,0.6752478717653839,0.7592592592592593,0.7777777777777778,0.666157399614652,0.7569444444444444,0.7569444444444443,0.719684645225879,0.6666666666666666,0.6666666666666666,0.5555555555555555
9,0.4372851434681151,0.2946820678534331,0.9467592592592593,1.0,0.2645642426278856,0.9722222222222222,0.9722222222222222,0.9722101606600088,1.0,1.0,1.0
10,0.299232546378065,0.2437395089202457,0.9768518518518519,1.0,0.2171886083152559,1.0,1.0,1.0,1.0,1.0,1.0
11,0.29254178095746924,0.23039707044760385,0.9745370370370371,1.0,0.20201313495635986,0.9861111111111112,0.9861111111111112,0.9861050803300043,1.0,1.0,1.0
12,0.239974409893707,0.22284122197716325,0.9861111111111112,1.0,0.2078785863187578,0.9861111111111112,0.9861111111111112,0.9861050803300043,1.0,1.0,1.0
13,0.2930984894434611,0.3628270305969097,0.9050925925925926,1.0,0.3617990579870012,0.8819444444444444,0.8819444444444445,0.8772145684582067,1.0,1.0,1.0
14,0.5525464294133363,0.3634853992197249,0.8958333333333334,0.8888888888888888,0.34600887695948285,0.9027777777777778,0.9027777777777778,0.9006651884700666,0.8888888888888888,0.8888888888888888,0.8857142857142857
15,0.5015205884421313,0.31800951063632965,0.9282407407407407,0.9259259259259259,0.29239631361431545,0.9375,0.9375,0.9369458128078817,0.8888888888888888,0.8888888888888888,0.8857142857142857
16,0.31195334483076026,0.25378849771287704,0.9791666666666666,1.0,0.23313538399007586,0.9861111111111112,0.9861111111111112,0.9861050803300043,1.0,1.0,1.0
17,0.24963182542059156,0.2296522668114415,0.9837962962962963,1.0,0.21339207390944162,0.9861111111111112,0.9861111111111112,0.9861050803300043,1.0,1.0,1.0
18,0.21950392811386674,0.2483309468737355,0.9675925925925926,1.0,0.2284765210416582,0.9652777777777778,0.9652777777777778,0.9651833315199653,1.0,1.0,1.0
