architecture,diagnostic,condition,experiment,blur_sigma_pixels,n_test_images,changed_image_predictions,changed_image_fraction,test_image_accuracy,test_image_balanced_accuracy,test_image_macro_f1,test_tile_accuracy,test_tile_balanced_accuracy,test_tile_macro_f1
resnet18,whole_image_spatial_blur,clean,PCA 1-band CNN,0.0,9,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
resnet18,whole_image_spatial_blur,moderate_blur,PCA 1-band CNN,2.0,9,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
resnet18,whole_image_spatial_blur,considerable_blur,PCA 1-band CNN,3.5,9,5,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.34848484848484845,0.5416666666666666,0.5416666666666666,0.4763368019181973
resnet18,whole_image_spatial_blur,strong_blur,PCA 1-band CNN,5.0,9,6,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666
resnet18,whole_image_spatial_blur,very_strong_blur,PCA 1-band CNN,10.0,9,6,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666
resnet18,whole_image_spatial_blur,clean,VIP 1-band CNN,0.0,9,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
resnet18,whole_image_spatial_blur,moderate_blur,VIP 1-band CNN,2.0,9,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
resnet18,whole_image_spatial_blur,considerable_blur,VIP 1-band CNN,3.5,9,6,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.3175698902101091
resnet18,whole_image_spatial_blur,strong_blur,VIP 1-band CNN,5.0,9,6,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666
resnet18,whole_image_spatial_blur,very_strong_blur,VIP 1-band CNN,10.0,9,6,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666
resnet18,whole_image_spatial_blur,clean,PCA 3-band CNN,0.0,9,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
resnet18,whole_image_spatial_blur,moderate_blur,PCA 3-band CNN,2.0,9,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
resnet18,whole_image_spatial_blur,considerable_blur,PCA 3-band CNN,3.5,9,1,0.1111111111111111,0.8888888888888888,0.8888888888888888,0.8857142857142857,0.8611111111111112,0.8611111111111112,0.8548094373865699
resnet18,whole_image_spatial_blur,strong_blur,PCA 3-band CNN,5.0,9,4,0.4444444444444444,0.5555555555555556,0.5555555555555555,0.4523809523809524,0.6180555555555556,0.6180555555555555,0.5531552079939176
resnet18,whole_image_spatial_blur,very_strong_blur,PCA 3-band CNN,10.0,9,6,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16842105263157894
resnet18,whole_image_spatial_blur,clean,VIP 3-band CNN,0.0,9,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
resnet18,whole_image_spatial_blur,moderate_blur,VIP 3-band CNN,2.0,9,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
resnet18,whole_image_spatial_blur,considerable_blur,VIP 3-band CNN,3.5,9,1,0.1111111111111111,0.8888888888888888,0.8888888888888888,0.8857142857142857,0.8680555555555556,0.8680555555555555,0.8626764539808018
resnet18,whole_image_spatial_blur,strong_blur,VIP 3-band CNN,5.0,9,4,0.4444444444444444,0.5555555555555556,0.5555555555555555,0.4523809523809524,0.6111111111111112,0.6111111111111112,0.5477788639078961
resnet18,whole_image_spatial_blur,very_strong_blur,VIP 3-band CNN,10.0,9,6,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16842105263157894
resnet18,whole_image_spatial_blur,clean,RGB 3-band CNN,0.0,9,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
resnet18,whole_image_spatial_blur,moderate_blur,RGB 3-band CNN,2.0,9,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
resnet18,whole_image_spatial_blur,considerable_blur,RGB 3-band CNN,3.5,9,0,0.0,1.0,1.0,1.0,0.9930555555555556,0.9930555555555555,0.993054801953337
resnet18,whole_image_spatial_blur,strong_blur,RGB 3-band CNN,5.0,9,0,0.0,1.0,1.0,1.0,0.9861111111111112,0.9861111111111112,0.9861050803300043
resnet18,whole_image_spatial_blur,very_strong_blur,RGB 3-band CNN,10.0,9,5,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.34848484848484845,0.4305555555555556,0.4305555555555555,0.33775415840989614
