architecture,diagnostic,condition,experiment,contamination_rate,incorrect_training_labels,train_sizes,validation_sizes,test_sizes,n_train_images,n_valid_images,n_test_images,best_epoch,validation_image_accuracy,validation_image_balanced_accuracy,validation_image_macro_f1,validation_tile_accuracy,validation_tile_balanced_accuracy,validation_tile_macro_f1,test_image_accuracy,test_image_balanced_accuracy,test_image_macro_f1,test_tile_accuracy,test_tile_balanced_accuracy,test_tile_macro_f1
resnet18,wrong_training_labels,wrong_labels_00_percent,PCA 1-band CNN,0.0,0,small_medium_large,small_medium_large,small_medium_large,27,9,9,98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
resnet18,wrong_training_labels,wrong_labels_33_percent,PCA 1-band CNN,0.3333333333333333,9,small_medium_large,small_medium_large,small_medium_large,27,9,9,6,1.0,1.0,1.0,0.9444444444444444,0.9444444444444443,0.9442025545690688,1.0,1.0,1.0,0.9236111111111112,0.923611111111111,0.9234124011652102
resnet18,wrong_training_labels,wrong_labels_66_percent,PCA 1-band CNN,0.6666666666666666,18,small_medium_large,small_medium_large,small_medium_large,27,9,9,1,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0517799352750809,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.07407407407407407
resnet18,wrong_training_labels,wrong_labels_00_percent,VIP 1-band CNN,0.0,0,small_medium_large,small_medium_large,small_medium_large,27,9,9,98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
resnet18,wrong_training_labels,wrong_labels_33_percent,VIP 1-band CNN,0.3333333333333333,9,small_medium_large,small_medium_large,small_medium_large,27,9,9,6,1.0,1.0,1.0,0.9513888888888888,0.9513888888888888,0.9511290498527326,1.0,1.0,1.0,0.9513888888888888,0.9513888888888888,0.9512390414299162
resnet18,wrong_training_labels,wrong_labels_66_percent,VIP 1-band CNN,0.6666666666666666,18,small_medium_large,small_medium_large,small_medium_large,27,9,9,1,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0517799352750809,0.0,0.0,0.0,0.09722222222222222,0.09722222222222222,0.08484848484848484
resnet18,wrong_training_labels,wrong_labels_00_percent,PCA 3-band CNN,0.0,0,small_medium_large,small_medium_large,small_medium_large,27,9,9,80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
resnet18,wrong_training_labels,wrong_labels_33_percent,PCA 3-band CNN,0.3333333333333333,9,small_medium_large,small_medium_large,small_medium_large,27,9,9,9,1.0,1.0,1.0,0.9027777777777778,0.9027777777777778,0.9025396738941315,1.0,1.0,1.0,0.9375,0.9375,0.9373830293417923
resnet18,wrong_training_labels,wrong_labels_66_percent,PCA 3-band CNN,0.6666666666666666,18,small_medium_large,small_medium_large,small_medium_large,27,9,9,2,0.2222222222222222,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.18554567321138893,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.2777777777777778,0.27777777777777773,0.22905982905982905
resnet18,wrong_training_labels,wrong_labels_00_percent,VIP 3-band CNN,0.0,0,small_medium_large,small_medium_large,small_medium_large,27,9,9,83,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
resnet18,wrong_training_labels,wrong_labels_33_percent,VIP 3-band CNN,0.3333333333333333,9,small_medium_large,small_medium_large,small_medium_large,27,9,9,9,1.0,1.0,1.0,0.9305555555555556,0.9305555555555555,0.9303617060871381,1.0,1.0,1.0,0.9444444444444444,0.9444444444444443,0.9443122196835069
resnet18,wrong_training_labels,wrong_labels_66_percent,VIP 3-band CNN,0.6666666666666666,18,small_medium_large,small_medium_large,small_medium_large,27,9,9,2,0.2222222222222222,0.2222222222222222,0.16666666666666666,0.2361111111111111,0.23611111111111113,0.20047985715879924,0.2222222222222222,0.2222222222222222,0.16666666666666666,0.2708333333333333,0.2708333333333333,0.218077474892396
resnet18,wrong_training_labels,wrong_labels_00_percent,RGB 3-band CNN,0.0,0,small_medium_large,small_medium_large,small_medium_large,27,9,9,84,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
resnet18,wrong_training_labels,wrong_labels_33_percent,RGB 3-band CNN,0.3333333333333333,9,small_medium_large,small_medium_large,small_medium_large,27,9,9,6,1.0,1.0,1.0,0.9583333333333334,0.9583333333333334,0.9582993917671336,1.0,1.0,1.0,0.9722222222222222,0.9722222222222222,0.9724052065647991
resnet18,wrong_training_labels,wrong_labels_66_percent,RGB 3-band CNN,0.6666666666666666,18,small_medium_large,small_medium_large,small_medium_large,27,9,9,1,0.2222222222222222,0.2222222222222222,0.22857142857142856,0.25,0.25,0.2591093117408907,0.3333333333333333,0.3333333333333333,0.3,0.3125,0.3125,0.3065174181399728
