external_variety,n_scenes,corn_recognition_rate,mean_corn_probability,median_corn_probability
Caitiannuo No.6,2,0.0,0.12500001838911245,0.12500001838911245
Jinxitian,2,0.0,0.1250000044466204,0.1250000044466204
Mihuatiannuo No.3,2,0.0,1.2212599638170007e-13,1.2212599638170007e-13
Mitiannuo No.1,2,0.0,0.25,0.25
Mitiannuo No.4,2,0.0,1.958490439560408e-23,1.958490439560408e-23
Sida No.204,2,0.0,0.25008146464824677,0.25008146464824677
Sidanuo No.38,2,1.0,0.500000387430191,0.500000387430191
Sidanuo No.44,2,0.0,0.25,0.25
Yuecainuo No.2,2,0.0,0.25000014901161194,0.25000014901161194
Zhenzhunuo No.8,2,0.0,0.12503387031392776,0.12503387031392776
Zhuyunuo No.1,2,0.0,0.4089689254760742,0.4089689254760742
Zhuyutian No.1,1,0.0,0.25,0.25
