experiment,sample_name,requested_wavelength_nm,external_band_index,actual_external_wavelength_nm,absolute_difference_nm
PCA 1-band CNN,Caitiannuo No.6__1,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Caitiannuo No.6__2,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Jinxitian__1,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Jinxitian__2,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Mihuatiannuo No.3__1,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Mihuatiannuo No.3__2,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Mitiannuo No.1__1,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Mitiannuo No.1__2,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Mitiannuo No.4__1,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Mitiannuo No.4__2,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Sida No.204__1,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Sida No.204__2,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Sidanuo No.38__1,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Sidanuo No.38__2,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Sidanuo No.44__1,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Sidanuo No.44__2,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Yuecainuo No.2__1,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Yuecainuo No.2__2,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Zhenzhunuo No.8__1,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Zhenzhunuo No.8__2,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Zhuyunuo No.1__1,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Zhuyunuo No.1__2,491.9,47,491.690002,0.20999799999998459
PCA 1-band CNN,Zhuyutian No.1__1,491.9,47,491.690002,0.20999799999998459
