experiment,sample_name,requested_wavelength_nm,external_band_index,actual_external_wavelength_nm,absolute_difference_nm
RGB 3-band CNN,Caitiannuo No.6__1,650.0,121,650.299988,0.2999879999999848
RGB 3-band CNN,Caitiannuo No.6__1,530.0,65,530.830017,0.830016999999998
RGB 3-band CNN,Caitiannuo No.6__1,450.0,28,449.619995,0.38000499999998283
RGB 3-band CNN,Caitiannuo No.6__2,650.0,121,650.299988,0.2999879999999848
RGB 3-band CNN,Caitiannuo No.6__2,530.0,65,530.830017,0.830016999999998
RGB 3-band CNN,Caitiannuo No.6__2,450.0,28,449.619995,0.38000499999998283
RGB 3-band CNN,Jinxitian__1,650.0,121,650.299988,0.2999879999999848
RGB 3-band CNN,Jinxitian__1,530.0,65,530.830017,0.830016999999998
RGB 3-band CNN,Jinxitian__1,450.0,28,449.619995,0.38000499999998283
RGB 3-band CNN,Jinxitian__2,650.0,121,650.299988,0.2999879999999848
RGB 3-band CNN,Jinxitian__2,530.0,65,530.830017,0.830016999999998
RGB 3-band CNN,Jinxitian__2,450.0,28,449.619995,0.38000499999998283
RGB 3-band CNN,Mihuatiannuo No.3__1,650.0,121,650.299988,0.2999879999999848
RGB 3-band CNN,Mihuatiannuo No.3__1,530.0,65,530.830017,0.830016999999998
RGB 3-band CNN,Mihuatiannuo No.3__1,450.0,28,449.619995,0.38000499999998283
RGB 3-band CNN,Mihuatiannuo No.3__2,650.0,121,650.299988,0.2999879999999848
RGB 3-band CNN,Mihuatiannuo No.3__2,530.0,65,530.830017,0.830016999999998
RGB 3-band CNN,Mihuatiannuo No.3__2,450.0,28,449.619995,0.38000499999998283
RGB 3-band CNN,Mitiannuo No.1__1,650.0,121,650.299988,0.2999879999999848
RGB 3-band CNN,Mitiannuo No.1__1,530.0,65,530.830017,0.830016999999998
RGB 3-band CNN,Mitiannuo No.1__1,450.0,28,449.619995,0.38000499999998283
RGB 3-band CNN,Mitiannuo No.1__2,650.0,121,650.299988,0.2999879999999848
RGB 3-band CNN,Mitiannuo No.1__2,530.0,65,530.830017,0.830016999999998
RGB 3-band CNN,Mitiannuo No.1__2,450.0,28,449.619995,0.38000499999998283
RGB 3-band CNN,Mitiannuo No.4__1,650.0,121,650.299988,0.2999879999999848
RGB 3-band CNN,Mitiannuo No.4__1,530.0,65,530.830017,0.830016999999998
RGB 3-band CNN,Mitiannuo No.4__1,450.0,28,449.619995,0.38000499999998283
RGB 3-band CNN,Mitiannuo No.4__2,650.0,121,650.299988,0.2999879999999848
RGB 3-band CNN,Mitiannuo No.4__2,530.0,65,530.830017,0.830016999999998
RGB 3-band CNN,Mitiannuo No.4__2,450.0,28,449.619995,0.38000499999998283
RGB 3-band CNN,Sida No.204__1,650.0,121,650.299988,0.2999879999999848
RGB 3-band CNN,Sida No.204__1,530.0,65,530.830017,0.830016999999998
RGB 3-band CNN,Sida No.204__1,450.0,28,449.619995,0.38000499999998283
RGB 3-band CNN,Sida No.204__2,650.0,121,650.299988,0.2999879999999848
RGB 3-band CNN,Sida No.204__2,530.0,65,530.830017,0.830016999999998
RGB 3-band CNN,Sida No.204__2,450.0,28,449.619995,0.38000499999998283
RGB 3-band CNN,Sidanuo No.38__1,650.0,121,650.299988,0.2999879999999848
RGB 3-band CNN,Sidanuo No.38__1,530.0,65,530.830017,0.830016999999998
RGB 3-band CNN,Sidanuo No.38__1,450.0,28,449.619995,0.38000499999998283
RGB 3-band CNN,Sidanuo No.38__2,650.0,121,650.299988,0.2999879999999848
RGB 3-band CNN,Sidanuo No.38__2,530.0,65,530.830017,0.830016999999998
RGB 3-band CNN,Sidanuo No.38__2,450.0,28,449.619995,0.38000499999998283
RGB 3-band CNN,Sidanuo No.44__1,650.0,121,650.299988,0.2999879999999848
RGB 3-band CNN,Sidanuo No.44__1,530.0,65,530.830017,0.830016999999998
RGB 3-band CNN,Sidanuo No.44__1,450.0,28,449.619995,0.38000499999998283
RGB 3-band CNN,Sidanuo No.44__2,650.0,121,650.299988,0.2999879999999848
RGB 3-band CNN,Sidanuo No.44__2,530.0,65,530.830017,0.830016999999998
RGB 3-band CNN,Sidanuo No.44__2,450.0,28,449.619995,0.38000499999998283
RGB 3-band CNN,Yuecainuo No.2__1,650.0,121,650.299988,0.2999879999999848
RGB 3-band CNN,Yuecainuo No.2__1,530.0,65,530.830017,0.830016999999998
RGB 3-band CNN,Yuecainuo No.2__1,450.0,28,449.619995,0.38000499999998283
RGB 3-band CNN,Yuecainuo No.2__2,650.0,121,650.299988,0.2999879999999848
RGB 3-band CNN,Yuecainuo No.2__2,530.0,65,530.830017,0.830016999999998
RGB 3-band CNN,Yuecainuo No.2__2,450.0,28,449.619995,0.38000499999998283
RGB 3-band CNN,Zhenzhunuo No.8__1,650.0,121,650.299988,0.2999879999999848
RGB 3-band CNN,Zhenzhunuo No.8__1,530.0,65,530.830017,0.830016999999998
RGB 3-band CNN,Zhenzhunuo No.8__1,450.0,28,449.619995,0.38000499999998283
RGB 3-band CNN,Zhenzhunuo No.8__2,650.0,121,650.299988,0.2999879999999848
RGB 3-band CNN,Zhenzhunuo No.8__2,530.0,65,530.830017,0.830016999999998
RGB 3-band CNN,Zhenzhunuo No.8__2,450.0,28,449.619995,0.38000499999998283
RGB 3-band CNN,Zhuyunuo No.1__1,650.0,121,650.299988,0.2999879999999848
RGB 3-band CNN,Zhuyunuo No.1__1,530.0,65,530.830017,0.830016999999998
RGB 3-band CNN,Zhuyunuo No.1__1,450.0,28,449.619995,0.38000499999998283
RGB 3-band CNN,Zhuyunuo No.1__2,650.0,121,650.299988,0.2999879999999848
RGB 3-band CNN,Zhuyunuo No.1__2,530.0,65,530.830017,0.830016999999998
