external_variety,n_scenes,corn_recognition_rate,mean_corn_probability,median_corn_probability
Caitiannuo No.6,2,1.0,0.8653121888637543,0.8653121888637543
Jinxitian,2,0.5,0.40254271030426025,0.40254271030426025
Mihuatiannuo No.3,2,0.0,0.3743479251861572,0.3743479251861572
Mitiannuo No.1,2,1.0,0.6245333254337311,0.6245333254337311
Mitiannuo No.4,2,0.0,0.25046271085739136,0.25046271085739136
Sida No.204,2,1.0,0.6276868283748627,0.6276868283748627
Sidanuo No.38,2,1.0,0.8801005482673645,0.8801005482673645
Sidanuo No.44,2,1.0,0.6256816387176514,0.6256816387176514
Yuecainuo No.2,2,1.0,0.75,0.75
Zhenzhunuo No.8,2,0.0,0.2553393244743347,0.2553393244743347
Zhuyunuo No.1,2,1.0,0.87378990650177,0.87378990650177
Zhuyutian No.1,1,1.0,0.75,0.75
