epoch,stage,optimisation_tile_loss,train_tile_loss,train_tile_accuracy,train_image_accuracy,valid_tile_loss,valid_tile_accuracy,valid_tile_balanced_accuracy,valid_tile_macro_f1,valid_image_accuracy,valid_image_balanced_accuracy,valid_image_macro_f1
1,frozen_backbone,1.1753211904455114,0.7430028650495741,0.9074074074074074,0.9629629629629629,0.7365742325782776,0.8611111111111112,0.861111111111111,0.8551233505450373,0.8888888888888888,0.8888888888888888,0.8857142857142857
2,frozen_backbone,0.6818156286522195,0.4642686943213145,0.9583333333333334,1.0,0.4595041109455956,0.9513888888888888,0.951388888888889,0.9513165455186562,1.0,1.0,1.0
3,frozen_backbone,0.41958678762118023,0.3156420478114375,0.9953703703703703,1.0,0.30792592300309074,1.0,1.0,1.0,1.0,1.0,1.0
4,frozen_backbone,0.3063260934970997,0.2527517830884015,0.9976851851851852,1.0,0.25058604611290825,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
5,frozen_backbone,0.24664423531956142,0.2284812883094505,1.0,1.0,0.22648005684216818,1.0,1.0,1.0,1.0,1.0,1.0
6,frozen_backbone,0.2283589122471986,0.21355615390671623,1.0,1.0,0.2138489286104838,1.0,1.0,1.0,1.0,1.0,1.0
7,frozen_backbone,0.21980470529309026,0.2057650828803027,1.0,1.0,0.206254372994105,1.0,1.0,1.0,1.0,1.0,1.0
8,frozen_backbone,0.21646737334904848,0.20132828310683923,1.0,1.0,0.20328734980689156,1.0,1.0,1.0,1.0,1.0,1.0
9,frozen_backbone,0.2049878074063195,0.19711964825789133,1.0,1.0,0.19821556740336949,1.0,1.0,1.0,1.0,1.0,1.0
10,frozen_backbone,0.200825070893323,0.19339706224423867,1.0,1.0,0.1945226490497589,1.0,1.0,1.0,1.0,1.0,1.0
11,frozen_backbone,0.19829413405171148,0.19137852832123084,1.0,1.0,0.19280673066775003,1.0,1.0,1.0,1.0,1.0,1.0
12,frozen_backbone,0.19675010387544278,0.18944029454831723,1.0,1.0,0.1908219854036967,1.0,1.0,1.0,1.0,1.0,1.0
13,frozen_backbone,0.1958868470456865,0.18790340533962957,1.0,1.0,0.18939478198687235,1.0,1.0,1.0,1.0,1.0,1.0
14,frozen_backbone,0.19382231268617842,0.18675245730965226,1.0,1.0,0.18849099344677395,1.0,1.0,1.0,1.0,1.0,1.0
15,frozen_backbone,0.19321484035915798,0.1854458749294281,1.0,1.0,0.18663388159539965,1.0,1.0,1.0,1.0,1.0,1.0
16,frozen_backbone,0.19048307173781925,0.1845851363959136,1.0,1.0,0.18631206783983442,1.0,1.0,1.0,1.0,1.0,1.0
17,frozen_backbone,0.18815406108344043,0.1836249342671147,1.0,1.0,0.1852228277259403,1.0,1.0,1.0,1.0,1.0,1.0
18,frozen_backbone,0.18987462366068805,0.18300042053063711,1.0,1.0,0.18454418579737344,1.0,1.0,1.0,1.0,1.0,1.0
19,frozen_backbone,0.18911530794920745,0.18254806487648575,1.0,1.0,0.18410991960101658,1.0,1.0,1.0,1.0,1.0,1.0
20,frozen_backbone,0.18867148790094587,0.18186410323337274,1.0,1.0,0.1837038497130076,1.0,1.0,1.0,1.0,1.0,1.0
21,frozen_backbone,0.18525647068465198,0.18128845206013433,1.0,1.0,0.18298963871267107,1.0,1.0,1.0,1.0,1.0,1.0
22,frozen_backbone,0.18891728586620754,0.18081130860028444,1.0,1.0,0.18236962291929457,1.0,1.0,1.0,1.0,1.0,1.0
23,frozen_backbone,0.1864311143204018,0.1806642120635068,1.0,1.0,0.1824819329712126,1.0,1.0,1.0,1.0,1.0,1.0
24,frozen_backbone,0.18465800748931038,0.1801731718911065,1.0,1.0,0.18161027299033272,1.0,1.0,1.0,1.0,1.0,1.0
25,frozen_backbone,0.18529682468484948,0.18000711114318282,1.0,1.0,0.181562387280994,1.0,1.0,1.0,1.0,1.0,1.0
26,frozen_backbone,0.18498301174905565,0.17969237985434355,1.0,1.0,0.18164915177557203,1.0,1.0,1.0,1.0,1.0,1.0
27,frozen_backbone,0.18399864655953865,0.17942091049971404,1.0,1.0,0.18119627402888405,1.0,1.0,1.0,1.0,1.0,1.0
28,frozen_backbone,0.18401876643851953,0.17909960779878828,1.0,1.0,0.18095816837416756,1.0,1.0,1.0,1.0,1.0,1.0
29,frozen_backbone,0.182894637187322,0.17887937857045066,1.0,1.0,0.1806460999780231,1.0,1.0,1.0,1.0,1.0,1.0
30,frozen_backbone,0.18416190920052705,0.17873053970160308,1.0,1.0,0.18058417075210148,1.0,1.0,1.0,1.0,1.0,1.0
31,frozen_backbone,0.18273257822902114,0.1784721905434573,1.0,1.0,0.18029550380176967,1.0,1.0,1.0,1.0,1.0,1.0
32,frozen_backbone,0.18270046401906898,0.17831131319204965,1.0,1.0,0.1802816092967987,1.0,1.0,1.0,1.0,1.0,1.0
33,frozen_backbone,0.18342051682648836,0.17830994173332496,1.0,1.0,0.1804152097966936,1.0,1.0,1.0,1.0,1.0,1.0
34,frozen_backbone,0.18335705112527917,0.17802804542912376,1.0,1.0,0.1799806985590193,1.0,1.0,1.0,1.0,1.0,1.0
35,frozen_backbone,0.1822659952772988,0.17791595392756993,1.0,1.0,0.17986802922354805,1.0,1.0,1.0,1.0,1.0,1.0
36,frozen_backbone,0.18113880797668738,0.17769935506361503,1.0,1.0,0.17948308090368906,1.0,1.0,1.0,1.0,1.0,1.0
37,frozen_backbone,0.18330473866727617,0.1777032039783619,1.0,1.0,0.17984051009019217,1.0,1.0,1.0,1.0,1.0,1.0
38,frozen_backbone,0.1827514077778216,0.17747959604969732,1.0,1.0,0.1795258124669393,1.0,1.0,1.0,1.0,1.0,1.0
39,frozen_backbone,0.1828055641165486,0.17742418083879682,1.0,1.0,0.17941626244121128,1.0,1.0,1.0,1.0,1.0,1.0
40,frozen_backbone,0.18143291495464467,0.1772291864509936,1.0,1.0,0.17929019199477303,1.0,1.0,1.0,1.0,1.0,1.0
41,frozen_backbone,0.18146950668758816,0.17719103340749387,1.0,1.0,0.17928824490971035,1.0,1.0,1.0,1.0,1.0,1.0
42,frozen_backbone,0.18158910892627858,0.1771181214738775,1.0,1.0,0.17935579352908665,1.0,1.0,1.0,1.0,1.0,1.0
43,frozen_backbone,0.18161899789615912,0.17704699988718386,1.0,1.0,0.17935369080967373,1.0,1.0,1.0,1.0,1.0,1.0
44,frozen_backbone,0.18223130813351385,0.1769044310958297,1.0,1.0,0.1790786368979348,1.0,1.0,1.0,1.0,1.0,1.0
45,frozen_backbone,0.18216328764403308,0.1767685137413166,1.0,1.0,0.17907810542318556,1.0,1.0,1.0,1.0,1.0,1.0
46,frozen_backbone,0.18185904732456915,0.1768750967802825,1.0,1.0,0.1792717178662618,1.0,1.0,1.0,1.0,1.0,1.0
47,frozen_backbone,0.18142443398634592,0.1767126586702135,1.0,1.0,0.17882793148358664,1.0,1.0,1.0,1.0,1.0,1.0
48,frozen_backbone,0.18115506679923446,0.1764914741118749,1.0,1.0,0.17883536716302237,1.0,1.0,1.0,1.0,1.0,1.0
49,frozen_backbone,0.18172577409832566,0.17653821795075028,1.0,1.0,0.1789651165405909,1.0,1.0,1.0,1.0,1.0,1.0
50,frozen_backbone,0.18022111223803627,0.1763275149795744,1.0,1.0,0.17857054703765446,1.0,1.0,1.0,1.0,1.0,1.0
51,frozen_backbone,0.17977384119122117,0.1765642894638909,1.0,1.0,0.1790674560599857,1.0,1.0,1.0,1.0,1.0,1.0
52,frozen_backbone,0.18111563280776696,0.17621937890847525,1.0,1.0,0.17866921424865723,1.0,1.0,1.0,1.0,1.0,1.0
53,frozen_backbone,0.1805193661539643,0.17622479410083206,1.0,1.0,0.17850015726354387,1.0,1.0,1.0,1.0,1.0,1.0
54,frozen_backbone,0.18049459214563723,0.176116614430039,1.0,1.0,0.1785453028149075,1.0,1.0,1.0,1.0,1.0,1.0
55,frozen_backbone,0.18116274200103902,0.17603544504554183,1.0,1.0,0.1785410013463762,1.0,1.0,1.0,1.0,1.0,1.0
56,frozen_backbone,0.18035255924419122,0.17593103150526682,1.0,1.0,0.17835776342286003,1.0,1.0,1.0,1.0,1.0,1.0
57,frozen_backbone,0.18085097769896188,0.1759106240890644,1.0,1.0,0.17836148705747393,1.0,1.0,1.0,1.0,1.0,1.0
58,frozen_backbone,0.18033454870736157,0.17577969365649754,1.0,1.0,0.17818116313881344,1.0,1.0,1.0,1.0,1.0,1.0
59,frozen_backbone,0.18026631408267552,0.17574054333898756,1.0,1.0,0.17829200790988076,1.0,1.0,1.0,1.0,1.0,1.0
60,frozen_backbone,0.1806997436064261,0.17563982363100406,1.0,1.0,0.17811459137333763,1.0,1.0,1.0,1.0,1.0,1.0
61,frozen_backbone,0.18105325985837867,0.1756565394224944,1.0,1.0,0.17826209465662637,1.0,1.0,1.0,1.0,1.0,1.0
62,frozen_backbone,0.17970731799249295,0.1756997710024869,1.0,1.0,0.17841677367687225,1.0,1.0,1.0,1.0,1.0,1.0
63,frozen_backbone,0.18009754132341455,0.17550893735002587,1.0,1.0,0.17816444900300768,1.0,1.0,1.0,1.0,1.0,1.0
64,frozen_backbone,0.17882994700361182,0.1754818249631811,1.0,1.0,0.17817941308021545,1.0,1.0,1.0,1.0,1.0,1.0
65,frozen_backbone,0.17987166069172048,0.1754140423403846,1.0,1.0,0.17817171083556282,1.0,1.0,1.0,1.0,1.0,1.0
66,frozen_backbone,0.17985521919197506,0.17535738371036672,1.0,1.0,0.17811363604333666,1.0,1.0,1.0,1.0,1.0,1.0
67,frozen_backbone,0.18043738217265518,0.17534406207225942,1.0,1.0,0.17814788222312927,1.0,1.0,1.0,1.0,1.0,1.0
68,frozen_backbone,0.17948046768153156,0.17519573480994613,1.0,1.0,0.17785193853908116,1.0,1.0,1.0,1.0,1.0,1.0
69,frozen_backbone,0.17879958064467819,0.1752808877715358,1.0,1.0,0.1781375871764289,1.0,1.0,1.0,1.0,1.0,1.0
