epoch,stage,optimisation_tile_loss,train_tile_loss,train_tile_accuracy,train_image_accuracy,valid_tile_loss,valid_tile_accuracy,valid_tile_balanced_accuracy,valid_tile_macro_f1,valid_image_accuracy,valid_image_balanced_accuracy,valid_image_macro_f1
1,frozen_backbone,1.145246273941464,0.6494736340310838,0.8148148148148148,0.8518518518518519,0.6586763660113016,0.7986111111111112,0.798611111111111,0.7702513075647405,0.7777777777777778,0.7777777777777777,0.7380952380952381
2,frozen_backbone,0.5451196487303134,0.33842984835306805,0.9953703703703703,1.0,0.34487901462448967,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
3,frozen_backbone,0.31668275042816446,0.2356705853232631,1.0,1.0,0.23762947652075025,1.0,1.0,1.0,1.0,1.0,1.0
4,frozen_backbone,0.2339531519898662,0.20678184264236027,1.0,1.0,0.2103072570429908,1.0,1.0,1.0,1.0,1.0,1.0
5,frozen_backbone,0.20672061928996333,0.1972191686983462,1.0,1.0,0.1991646322939131,1.0,1.0,1.0,1.0,1.0,1.0
6,frozen_backbone,0.2010949938385575,0.19204529568001075,1.0,1.0,0.19392087062199911,1.0,1.0,1.0,1.0,1.0,1.0
7,frozen_backbone,0.1959866241172508,0.18900931930100476,1.0,1.0,0.1901788595649931,1.0,1.0,1.0,1.0,1.0,1.0
8,frozen_backbone,0.1938968654032107,0.18635040797569133,1.0,1.0,0.188605527083079,1.0,1.0,1.0,1.0,1.0,1.0
9,frozen_backbone,0.19190772926365887,0.1843998078946714,1.0,1.0,0.18649630082978141,1.0,1.0,1.0,1.0,1.0,1.0
10,frozen_backbone,0.18926100156925343,0.18294792042838204,1.0,1.0,0.18454696072472465,1.0,1.0,1.0,1.0,1.0,1.0
11,frozen_backbone,0.1882084674305386,0.18171379797988468,1.0,1.0,0.1836659246020847,1.0,1.0,1.0,1.0,1.0,1.0
12,frozen_backbone,0.18580659672066016,0.1808121899763743,1.0,1.0,0.18287205696105957,1.0,1.0,1.0,1.0,1.0,1.0
13,frozen_backbone,0.18591415109457793,0.1801901520402343,1.0,1.0,0.1822305123011271,1.0,1.0,1.0,1.0,1.0,1.0
14,frozen_backbone,0.1844570725052445,0.1797722578048706,1.0,1.0,0.18237119747532737,1.0,1.0,1.0,1.0,1.0,1.0
15,frozen_backbone,0.18463386650438662,0.17926502834867547,1.0,1.0,0.18112386597527397,1.0,1.0,1.0,1.0,1.0,1.0
16,frozen_backbone,0.1854714271095064,0.1792110828337846,1.0,1.0,0.1817427956395679,1.0,1.0,1.0,1.0,1.0,1.0
17,frozen_backbone,0.1826391335990694,0.17844863567087385,1.0,1.0,0.18068842589855194,1.0,1.0,1.0,1.0,1.0,1.0
18,frozen_backbone,0.18356250336876623,0.17824627624617684,1.0,1.0,0.18050025569068062,1.0,1.0,1.0,1.0,1.0,1.0
19,frozen_backbone,0.1825493816976194,0.17818058420110633,1.0,1.0,0.18059701886441973,1.0,1.0,1.0,1.0,1.0,1.0
20,frozen_backbone,0.1823332999591474,0.17794202544071056,1.0,1.0,0.18046548631456164,1.0,1.0,1.0,1.0,1.0,1.0
21,frozen_backbone,0.18211906651655832,0.17753873599900138,1.0,1.0,0.17978529963228437,1.0,1.0,1.0,1.0,1.0,1.0
22,frozen_backbone,0.18182333476013607,0.17728124227788714,1.0,1.0,0.1797389802005556,1.0,1.0,1.0,1.0,1.0,1.0
23,frozen_backbone,0.18306501154546384,0.17709004051155514,1.0,1.0,0.17959449026319715,1.0,1.0,1.0,1.0,1.0,1.0
24,frozen_backbone,0.18161032762792376,0.1771846639889258,1.0,1.0,0.17925112280580732,1.0,1.0,1.0,1.0,1.0,1.0
25,frozen_backbone,0.18135381793534314,0.17666248701236867,1.0,1.0,0.17893922494517434,1.0,1.0,1.0,1.0,1.0,1.0
26,frozen_backbone,0.18115670537507092,0.17665390780678503,1.0,1.0,0.17935589452584585,1.0,1.0,1.0,1.0,1.0,1.0
27,frozen_backbone,0.18137200894179167,0.17636487439826684,1.0,1.0,0.1786821335554123,1.0,1.0,1.0,1.0,1.0,1.0
28,frozen_backbone,0.18040793858192586,0.17626644726152774,1.0,1.0,0.17882187995645735,1.0,1.0,1.0,1.0,1.0,1.0
29,frozen_backbone,0.18058661343874755,0.17605735803091968,1.0,1.0,0.1785232424736023,1.0,1.0,1.0,1.0,1.0,1.0
30,frozen_backbone,0.18125639414345776,0.17593064904212952,1.0,1.0,0.1783271630605062,1.0,1.0,1.0,1.0,1.0,1.0
31,frozen_backbone,0.18002744184599984,0.17594034638669756,1.0,1.0,0.17825882302390206,1.0,1.0,1.0,1.0,1.0,1.0
32,frozen_backbone,0.17931295931339264,0.17571658779073646,1.0,1.0,0.17829259402222103,1.0,1.0,1.0,1.0,1.0,1.0
33,frozen_backbone,0.1799390956207558,0.17573185209874753,1.0,1.0,0.17850250171290505,1.0,1.0,1.0,1.0,1.0,1.0
34,frozen_backbone,0.17990203146581296,0.17544456874882733,1.0,1.0,0.17793815665774876,1.0,1.0,1.0,1.0,1.0,1.0
35,frozen_backbone,0.17934079909766162,0.17534268233511183,1.0,1.0,0.1779252505964703,1.0,1.0,1.0,1.0,1.0,1.0
36,frozen_backbone,0.17884741006074129,0.17519595391220516,1.0,1.0,0.17776630653275383,1.0,1.0,1.0,1.0,1.0,1.0
37,frozen_backbone,0.1797753561426092,0.17520920270019108,1.0,1.0,0.17782261636522081,1.0,1.0,1.0,1.0,1.0,1.0
38,frozen_backbone,0.17937792340914407,0.17514202329847547,1.0,1.0,0.177638108531634,1.0,1.0,1.0,1.0,1.0,1.0
39,frozen_backbone,0.1800532434825544,0.17508269349733988,1.0,1.0,0.17775792214605543,1.0,1.0,1.0,1.0,1.0,1.0
40,frozen_backbone,0.17937217597608213,0.17491933537854087,1.0,1.0,0.17748720116085476,1.0,1.0,1.0,1.0,1.0,1.0
41,frozen_backbone,0.17898301283518472,0.17492862266522866,1.0,1.0,0.1776443769534429,1.0,1.0,1.0,1.0,1.0,1.0
42,frozen_backbone,0.17921213419349105,0.17481177051862082,1.0,1.0,0.17746792568100822,1.0,1.0,1.0,1.0,1.0,1.0
43,frozen_backbone,0.17967775795194837,0.17473230483355345,1.0,1.0,0.17721627155939737,1.0,1.0,1.0,1.0,1.0,1.0
44,frozen_backbone,0.17919185316121136,0.17463595944422264,1.0,1.0,0.17710477775997585,1.0,1.0,1.0,1.0,1.0,1.0
45,frozen_backbone,0.1788688318596946,0.17452848343937485,1.0,1.0,0.17695221139325035,1.0,1.0,1.0,1.0,1.0,1.0
46,frozen_backbone,0.178608156464718,0.17436725673852144,1.0,1.0,0.17684508032268947,1.0,1.0,1.0,1.0,1.0,1.0
47,frozen_backbone,0.17900619131547432,0.17430340415901607,1.0,1.0,0.1768892721997367,1.0,1.0,1.0,1.0,1.0,1.0
48,frozen_backbone,0.17826259246578924,0.1742682214136477,1.0,1.0,0.17678068081537882,1.0,1.0,1.0,1.0,1.0,1.0
49,frozen_backbone,0.17866553642131663,0.17426303194628823,1.0,1.0,0.176760603984197,1.0,1.0,1.0,1.0,1.0,1.0
50,frozen_backbone,0.1777744585717166,0.17418412367502847,1.0,1.0,0.176593240764406,1.0,1.0,1.0,1.0,1.0,1.0
51,frozen_backbone,0.17840351661046347,0.17436900514143486,1.0,1.0,0.1770144005616506,1.0,1.0,1.0,1.0,1.0,1.0
52,frozen_backbone,0.17783240477244058,0.1741659321166851,1.0,1.0,0.17653314272562662,1.0,1.0,1.0,1.0,1.0,1.0
53,frozen_backbone,0.17780314496269933,0.1741279794110192,1.0,1.0,0.17647048168712193,1.0,1.0,1.0,1.0,1.0,1.0
54,frozen_backbone,0.17776197802137444,0.17398134149886943,1.0,1.0,0.17639235489898258,1.0,1.0,1.0,1.0,1.0,1.0
