epoch,stage,optimisation_tile_loss,train_tile_loss,train_tile_accuracy,train_image_accuracy,valid_tile_loss,valid_tile_accuracy,valid_tile_balanced_accuracy,valid_tile_macro_f1,valid_image_accuracy,valid_image_balanced_accuracy,valid_image_macro_f1
1,frozen_backbone,1.1855064586356834,0.715599086549547,0.9444444444444444,1.0,0.7195726500617133,0.9583333333333334,0.9583333333333334,0.9581699346405229,1.0,1.0,1.0
2,frozen_backbone,0.6188585404996518,0.45303031581419484,0.9490740740740741,0.9629629629629629,0.4504956007003784,0.9375,0.9375,0.9369458128078817,0.8888888888888888,0.8888888888888888,0.8857142857142857
3,frozen_backbone,0.38483782167787906,0.29449337996818403,0.9837962962962963,1.0,0.28628865546650356,0.9861111111111112,0.9861111111111112,0.9861050803300043,1.0,1.0,1.0
4,frozen_backbone,0.28620756334728664,0.24363414004996972,0.9861111111111112,1.0,0.2356634040673574,1.0,1.0,1.0,1.0,1.0,1.0
5,frozen_backbone,0.23671274383862814,0.2246618408847738,0.9861111111111112,1.0,0.21670471959643894,1.0,1.0,1.0,1.0,1.0,1.0
6,frozen_backbone,0.22838463827415748,0.21391676476708166,0.9884259259259259,1.0,0.206490491827329,1.0,1.0,1.0,1.0,1.0,1.0
7,frozen_backbone,0.22021574444240993,0.20731120308240256,0.9953703703703703,1.0,0.20081502364741433,1.0,1.0,1.0,1.0,1.0,1.0
8,frozen_backbone,0.21312000961215408,0.20230134162637922,0.9953703703703703,1.0,0.19634793202082315,1.0,1.0,1.0,1.0,1.0,1.0
9,frozen_backbone,0.20974832773208618,0.19999505634661074,0.9953703703703703,1.0,0.19408965110778809,1.0,1.0,1.0,1.0,1.0,1.0
10,frozen_backbone,0.20484824589005224,0.19667302403185102,0.9953703703703703,1.0,0.1913527382744683,1.0,1.0,1.0,1.0,1.0,1.0
11,frozen_backbone,0.20017574341208846,0.19434399516494186,0.9976851851851852,1.0,0.18911082877053154,1.0,1.0,1.0,1.0,1.0,1.0
12,frozen_backbone,0.19753128952450222,0.19273089479517053,0.9976851851851852,1.0,0.18777926597330305,1.0,1.0,1.0,1.0,1.0,1.0
13,frozen_backbone,0.19909733754617195,0.19112626987474937,1.0,1.0,0.18640241026878357,1.0,1.0,1.0,1.0,1.0,1.0
14,frozen_backbone,0.1954277014290845,0.18995310255774744,1.0,1.0,0.1855246921380361,1.0,1.0,1.0,1.0,1.0,1.0
15,frozen_backbone,0.19353809069704125,0.18909153397436496,1.0,1.0,0.18490282860067156,1.0,1.0,1.0,1.0,1.0,1.0
16,frozen_backbone,0.19247798732033483,0.1882415838815548,1.0,1.0,0.1842098120186064,1.0,1.0,1.0,1.0,1.0,1.0
17,frozen_backbone,0.19190393388271332,0.1873389912976159,1.0,1.0,0.18362276752789816,1.0,1.0,1.0,1.0,1.0,1.0
18,frozen_backbone,0.19209670137476037,0.18686490423149532,1.0,1.0,0.18321640955077279,1.0,1.0,1.0,1.0,1.0,1.0
19,frozen_backbone,0.19087002012464735,0.1862502180867725,1.0,1.0,0.18295075330469343,1.0,1.0,1.0,1.0,1.0,1.0
20,frozen_backbone,0.18928204311264885,0.18580116717903702,1.0,1.0,0.18260076310899523,1.0,1.0,1.0,1.0,1.0,1.0
21,frozen_backbone,0.1882562455203798,0.18501616131376336,1.0,1.0,0.1819341414504581,1.0,1.0,1.0,1.0,1.0,1.0
22,frozen_backbone,0.18926790632583476,0.18459339329489954,1.0,1.0,0.18174567653073204,1.0,1.0,1.0,1.0,1.0,1.0
23,frozen_backbone,0.1894680951480512,0.184336644631845,1.0,1.0,0.1815552810827891,1.0,1.0,1.0,1.0,1.0,1.0
24,frozen_backbone,0.18837716071693986,0.18385605734807473,1.0,1.0,0.18113414446512857,1.0,1.0,1.0,1.0,1.0,1.0
25,frozen_backbone,0.18928060708222566,0.18350430219261735,1.0,1.0,0.18094485998153687,1.0,1.0,1.0,1.0,1.0,1.0
26,frozen_backbone,0.18653682812496467,0.18320912729810784,1.0,1.0,0.18071922991010878,1.0,1.0,1.0,1.0,1.0,1.0
27,frozen_backbone,0.18842996601705198,0.18277976192809917,1.0,1.0,0.18051247464285958,1.0,1.0,1.0,1.0,1.0,1.0
28,frozen_backbone,0.1853340560639346,0.1827701363298628,1.0,1.0,0.18058585623900095,1.0,1.0,1.0,1.0,1.0,1.0
29,frozen_backbone,0.18541561398241255,0.18220888574918112,1.0,1.0,0.1800888478755951,1.0,1.0,1.0,1.0,1.0,1.0
30,frozen_backbone,0.1867365919881397,0.18211002040792396,1.0,1.0,0.18028498027059767,1.0,1.0,1.0,1.0,1.0,1.0
31,frozen_backbone,0.18801296143620103,0.18189549225348015,1.0,1.0,0.17986901270018685,1.0,1.0,1.0,1.0,1.0,1.0
32,frozen_backbone,0.18356902069515652,0.1814396839450907,1.0,1.0,0.17970054513878292,1.0,1.0,1.0,1.0,1.0,1.0
33,frozen_backbone,0.18394834023934822,0.18124131361643472,1.0,1.0,0.17960119909710354,1.0,1.0,1.0,1.0,1.0,1.0
34,frozen_backbone,0.186510619741899,0.18104604659257112,1.0,1.0,0.17936374081505668,1.0,1.0,1.0,1.0,1.0,1.0
35,frozen_backbone,0.183860809162811,0.18075011394642018,1.0,1.0,0.17927740514278412,1.0,1.0,1.0,1.0,1.0,1.0
36,frozen_backbone,0.18420039062146787,0.18054131832387713,1.0,1.0,0.17911262147956425,1.0,1.0,1.0,1.0,1.0,1.0
37,frozen_backbone,0.18571658156536244,0.18045845572595243,1.0,1.0,0.1790169659588072,1.0,1.0,1.0,1.0,1.0,1.0
38,frozen_backbone,0.18485478670508773,0.1802003190473274,1.0,1.0,0.17880237102508545,1.0,1.0,1.0,1.0,1.0,1.0
39,frozen_backbone,0.184168494409985,0.18002738224135506,1.0,1.0,0.1788278685675727,1.0,1.0,1.0,1.0,1.0,1.0
40,frozen_backbone,0.18449091800936945,0.17982651348467227,1.0,1.0,0.17870942089292738,1.0,1.0,1.0,1.0,1.0,1.0
41,frozen_backbone,0.18318897320164573,0.1796496554657265,1.0,1.0,0.17850345207585228,1.0,1.0,1.0,1.0,1.0,1.0
42,frozen_backbone,0.18315602287098212,0.1794386782028057,1.0,1.0,0.1784084207481808,1.0,1.0,1.0,1.0,1.0,1.0
43,frozen_backbone,0.1838503204010151,0.17931806654841811,1.0,1.0,0.17832222746478188,1.0,1.0,1.0,1.0,1.0,1.0
44,frozen_backbone,0.18378707821722384,0.1791020742169133,1.0,1.0,0.17825664414299858,1.0,1.0,1.0,1.0,1.0,1.0
45,frozen_backbone,0.18339358049410362,0.1790661651779104,1.0,1.0,0.178234307302369,1.0,1.0,1.0,1.0,1.0,1.0
46,frozen_backbone,0.18298232389820945,0.17908633362363885,1.0,1.0,0.17811507483323416,1.0,1.0,1.0,1.0,1.0,1.0
47,frozen_backbone,0.182751406122137,0.17881168811409562,1.0,1.0,0.17827734020021227,1.0,1.0,1.0,1.0,1.0,1.0
48,frozen_backbone,0.18356453268616288,0.1785953011777666,1.0,1.0,0.17796389924155342,1.0,1.0,1.0,1.0,1.0,1.0
49,frozen_backbone,0.18278486916312464,0.17851493259270987,1.0,1.0,0.17778154214223227,1.0,1.0,1.0,1.0,1.0,1.0
50,frozen_backbone,0.18209760829254432,0.17825636709177936,1.0,1.0,0.1777169273959266,1.0,1.0,1.0,1.0,1.0,1.0
51,frozen_backbone,0.18323462925575398,0.17843964254414593,1.0,1.0,0.17790426313877106,1.0,1.0,1.0,1.0,1.0,1.0
52,frozen_backbone,0.18316295908557045,0.17810176975197262,1.0,1.0,0.1776250120666292,1.0,1.0,1.0,1.0,1.0,1.0
53,frozen_backbone,0.18276097156383372,0.1779890325334337,1.0,1.0,0.17761961619059244,1.0,1.0,1.0,1.0,1.0,1.0
54,frozen_backbone,0.18214195911531095,0.17791681709112944,1.0,1.0,0.17768431040975782,1.0,1.0,1.0,1.0,1.0,1.0
55,frozen_backbone,0.18165187592859622,0.1777752113563043,1.0,1.0,0.17742025355497995,1.0,1.0,1.0,1.0,1.0,1.0
56,frozen_backbone,0.18172205101560662,0.17765793645823444,1.0,1.0,0.17734769648975796,1.0,1.0,1.0,1.0,1.0,1.0
57,frozen_backbone,0.18147100453023557,0.1775534600019455,1.0,1.0,0.17737060288588205,1.0,1.0,1.0,1.0,1.0,1.0
58,frozen_backbone,0.18108654353353712,0.17743323191448493,1.0,1.0,0.17732900215519798,1.0,1.0,1.0,1.0,1.0,1.0
59,frozen_backbone,0.18179545082427837,0.1775855427538907,1.0,1.0,0.1772018704149458,1.0,1.0,1.0,1.0,1.0,1.0
60,frozen_backbone,0.18155894290517877,0.17742925882339478,1.0,1.0,0.17750771840413412,1.0,1.0,1.0,1.0,1.0,1.0
61,frozen_backbone,0.1812463292369136,0.17721591503531844,1.0,1.0,0.1771328631374571,1.0,1.0,1.0,1.0,1.0,1.0
62,frozen_backbone,0.1812170092706327,0.17710181242889828,1.0,1.0,0.17699970470534432,1.0,1.0,1.0,1.0,1.0,1.0
63,frozen_backbone,0.18169063936781,0.17709253010926423,1.0,1.0,0.17693412635061476,1.0,1.0,1.0,1.0,1.0,1.0
64,frozen_backbone,0.1799097579938394,0.17695242387277108,1.0,1.0,0.17705641190210977,1.0,1.0,1.0,1.0,1.0,1.0
65,frozen_backbone,0.18028864154109248,0.17690852339620944,1.0,1.0,0.17685270309448242,1.0,1.0,1.0,1.0,1.0,1.0
66,frozen_backbone,0.18096518185403612,0.17679232358932495,1.0,1.0,0.17699536681175232,1.0,1.0,1.0,1.0,1.0,1.0
67,frozen_backbone,0.180474822167997,0.176907146970431,1.0,1.0,0.1768210811747445,1.0,1.0,1.0,1.0,1.0,1.0
68,frozen_backbone,0.18038054472870296,0.17659872439172533,1.0,1.0,0.17673431005742815,1.0,1.0,1.0,1.0,1.0,1.0
69,frozen_backbone,0.18036882468947657,0.17662862329571336,1.0,1.0,0.17664408187071481,1.0,1.0,1.0,1.0,1.0,1.0
70,frozen_backbone,0.18094109881807258,0.1764704778238579,1.0,1.0,0.17668420407507154,1.0,1.0,1.0,1.0,1.0,1.0
71,frozen_backbone,0.18089119814060353,0.176708334573993,1.0,1.0,0.17671497993999058,1.0,1.0,1.0,1.0,1.0,1.0
72,frozen_backbone,0.18005325120908242,0.17637377425476355,1.0,1.0,0.17645644810464647,1.0,1.0,1.0,1.0,1.0,1.0
73,frozen_backbone,0.18032029491883736,0.17629170638543587,1.0,1.0,0.17639177209801143,1.0,1.0,1.0,1.0,1.0,1.0
74,frozen_backbone,0.1798386330957766,0.1762189589164875,1.0,1.0,0.17651175293657514,1.0,1.0,1.0,1.0,1.0,1.0
75,frozen_backbone,0.1799737071549451,0.17613886683075516,1.0,1.0,0.17650024427307975,1.0,1.0,1.0,1.0,1.0,1.0
