experiment,candidate,head_learning_rate,weight_decay,dropout,label_smoothing,best_epoch,best_valid_tile_loss,valid_tile_accuracy,valid_tile_balanced_accuracy,valid_tile_macro_f1,valid_image_accuracy,valid_image_balanced_accuracy,valid_image_macro_f1
PCA 1-band CNN,1,3e-05,0.0001,0.2,0.05,100,0.28979552123281693,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,2,3e-05,0.0001,0.4,0.05,100,0.2907541162437863,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,3,3e-05,0.001,0.2,0.05,100,0.28980663749906754,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,4,3e-05,0.001,0.4,0.05,100,0.2907656961017185,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,5,3e-05,0.01,0.2,0.05,100,0.28983620802561444,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,6,3e-05,0.01,0.4,0.05,100,0.2907963991165161,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,7,0.0001,0.0001,0.2,0.05,100,0.19204838077227274,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,8,0.0001,0.0001,0.4,0.05,100,0.19214166204134622,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,9,0.0001,0.001,0.2,0.05,100,0.1920510513914956,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,10,0.0001,0.001,0.4,0.05,100,0.1921442465649711,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,11,0.0001,0.01,0.2,0.05,100,0.19207171267933315,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,12,0.0001,0.01,0.4,0.05,100,0.19216450386577183,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,13,0.0003,0.0001,0.2,0.05,99,0.1803562210665809,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,14,0.0003,0.0001,0.4,0.05,98,0.18087636099921334,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,15,0.0003,0.001,0.2,0.05,99,0.18035666147867838,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,16,0.0003,0.001,0.4,0.05,98,0.1808766954474979,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,17,0.0003,0.01,0.2,0.05,99,0.1803626600239012,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,18,0.0003,0.01,0.4,0.05,98,0.1808811194366879,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,19,0.001,0.0001,0.2,0.05,98,0.17649176882372963,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,20,0.001,0.0001,0.4,0.05,82,0.1774784723917643,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,21,0.001,0.001,0.2,0.05,98,0.1764924724896749,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,22,0.001,0.001,0.4,0.05,82,0.1774793482489056,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,23,0.001,0.01,0.2,0.05,91,0.17659870949056414,1.0,1.0,1.0,1.0,1.0,1.0
PCA 1-band CNN,24,0.001,0.01,0.4,0.05,82,0.177487979332606,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,1,3e-05,0.0001,0.2,0.05,100,0.28336016999350655,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,2,3e-05,0.0001,0.4,0.05,100,0.28431497679816353,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,3,3e-05,0.001,0.2,0.05,100,0.2833712266551124,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,4,3e-05,0.001,0.4,0.05,100,0.2843265500333574,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,5,3e-05,0.01,0.2,0.05,100,0.28340088658862644,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,6,3e-05,0.01,0.4,0.05,100,0.284357229868571,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,7,0.0001,0.0001,0.2,0.05,100,0.18986567523744372,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,8,0.0001,0.0001,0.4,0.05,100,0.19004985524548423,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,9,0.0001,0.001,0.2,0.05,100,0.18986803458796608,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,10,0.0001,0.001,0.4,0.05,100,0.1900520920753479,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,11,0.0001,0.01,0.2,0.05,100,0.18988630175590515,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,12,0.0001,0.01,0.4,0.05,100,0.19006955789195168,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,13,0.0003,0.0001,0.2,0.05,98,0.17953401472833422,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,14,0.0003,0.0001,0.4,0.05,98,0.18001437021626365,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,15,0.0003,0.001,0.2,0.05,98,0.1795341521501541,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,16,0.0003,0.001,0.4,0.05,98,0.18001434206962585,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,17,0.0003,0.01,0.2,0.05,100,0.1795142243305842,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,18,0.0003,0.01,0.4,0.05,98,0.1800141367647383,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,19,0.001,0.0001,0.2,0.05,98,0.17571471134821573,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,20,0.001,0.0001,0.4,0.05,93,0.17642761601342094,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,21,0.001,0.001,0.2,0.05,98,0.17571502096123165,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,22,0.001,0.001,0.4,0.05,93,0.17642786602179208,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,23,0.001,0.01,0.2,0.05,98,0.1757180674208535,1.0,1.0,1.0,1.0,1.0,1.0
VIP 1-band CNN,24,0.001,0.01,0.4,0.05,93,0.17643060121271345,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,1,3e-05,0.0001,0.2,0.05,100,0.2917683985498216,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
PCA 3-band CNN,2,3e-05,0.0001,0.4,0.05,100,0.29367437958717346,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
PCA 3-band CNN,3,3e-05,0.001,0.2,0.05,100,0.29177849491437274,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
PCA 3-band CNN,4,3e-05,0.001,0.4,0.05,100,0.2936849594116211,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
PCA 3-band CNN,5,3e-05,0.01,0.2,0.05,100,0.29180580708715653,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
PCA 3-band CNN,6,3e-05,0.01,0.4,0.05,100,0.2937132550610436,0.9930555555555556,0.9930555555555555,0.993054801953337,1.0,1.0,1.0
PCA 3-band CNN,7,0.0001,0.0001,0.2,0.05,100,0.19339262776904637,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,8,0.0001,0.0001,0.4,0.05,100,0.1943150841527515,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,9,0.0001,0.001,0.2,0.05,100,0.19339458809958565,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,10,0.0001,0.001,0.4,0.05,100,0.1943168259329266,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,11,0.0001,0.01,0.2,0.05,100,0.1934096333053377,1.0,1.0,1.0,1.0,1.0,1.0
PCA 3-band CNN,12,0.0001,0.01,0.4,0.05,100,0.19432983795801798,1.0,1.0,1.0,1.0,1.0,1.0
